,itemCode,itemName,units,price,department,userID,gender,age
0,958401,Johnson's Body Soap Vita-Rich Soothing 125g,8,2.9,GROCERY,b82d02de-9b82-49c0-aa16-fb1b36c91245,Female,40
1,1557587,Ikon Smart watch IK-W90,9,149.0,ELECTRONICS,b82d02de-9b82-49c0-aa16-fb1b36c91245,Female,40
2,1213573,Hitachi Double Door Refrigerator RVG720PUK5GBK 720LTR,8,3779.0,ELECTRONICS,b82d02de-9b82-49c0-aa16-fb1b36c91245,Female,40
3,1289133,Delsey Keira 4 Wheel Hard Trolley 81cm Grey,6,399.0,FASHION,b82d02de-9b82-49c0-aa16-fb1b36c91245,Female,40
4,847563,Nivea Deodorant Natural Fairness Licorice & Avocado Extracts 200ml,10,17.35,GROCERY,b82d02de-9b82-49c0-aa16-fb1b36c91245,Female,40
5,938365,Car Care Carnauba Wash & Wax 00095 1Ltr,2,21.0,ELECTRONICS,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
6,1497427,Apple iPhone XS Max Silicone Case Blue Horizon,2,143.5,ELECTRONICS,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
7,443625,Clear Men's Anti-Dandruff Shampoo Hairfall Defense 400ml,5,20.75,GROCERY,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
8,823997,Fruit Of The Loom Mens Vest 3 Piece Extra Large,9,42.0,FASHION,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
9,817868,Nestle Fitness HONEY and Almonds Breakfast Cereal 425g,10,16.9,GROCERY,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
10,1351065,Moulinex Hand Blender DD86C127 750W,9,399.0,ELECTRONICS,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
11,1058534,Art & Craft Fame Bowl Set 6pcs,7,17.0,ELECTRONICS,ac96a08a-c136-4f74-9252-a4c37d1c07a5,Female,68
12,933196,Tramontina  Polywood Butchery Knife 21139/176 6inch,5,28.5,ELECTRONICS,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
13,1264788,Max Factor 2000 Calorie Curl Addict Mascara Volume & Curl Black 1pc,2,50.0,FASHION,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
14,1282844,Electrolux Double Door Refrigerator EJ3550EOU 369Ltr,6,1799.0,ELECTRONICS,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
15,1397498,Nivea Deodorant for Men Fresh Ocean 150ml,4,13.8,GROCERY,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
16,1640462,Candy Twin Tub Top Load Washing Machine RTT261WSU 6Kg,5,499.0,ELECTRONICS,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
17,11603,Koleston Dark Blonde Hair Colour Creme 306/0  50ml,9,17.6,GROCERY,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
18,1594048,Maple Leaf Home PVC Wall Mirror M-1021 20inch,8,59.0,OTHERS,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
19,1540712,Powerman Home Tool Set TM-20902-B 13pcs,4,39.0,ELECTRONICS,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
20,1221852,Yardley Navy Deodorant Roll On Anti Perspirant 50ml,10,12.45,GROCERY,dbf6a4b6-f1fe-4397-9296-f404725e0035,Female,39
