,code,name,image,price,department
1100,711947,Himalaya Clear Complexion Whitening Daily Scrub 150ml,/lulucommercewebservices/v2/medias/711947-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w4MTQ5fGltYWdlL2pwZWd8aW1hZ2VzL2hjYy9oMDYvOTExNDA1NzQ0MTMxMC5qcGd8ZTk1Mzg3NGYxY2E2ODdmODI1NmM2NDFlZTRhNzJlYmIxNWUyMzgwMGU4NzIyZDJkZTgwMTdmNjIzOTc4ZTBlYw,27.0,GROCERY
1120,742231,"Clear Women's Anti-Dandruff Shampoo Anti-Hair Fall, 400ml",/lulucommercewebservices/v2/medias/742231-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzg0OHxpbWFnZS9qcGVnfGltYWdlcy9oNzEvaGE0L2gwMC85MzE2ODY2MzU5MzI2LmpwZ3w5ZDk0NWMzMWY3ZDM4MjUwNjA2MGI1ODE1NzUwYWNlMGJmYjMxOTU4NGFmZDgwYjA1YzZjZWJhNGViMmUyNDVi,20.75,GROCERY
1140,1183430,Loreal Elvive Keratin Straight Conditioner 400ml,/lulucommercewebservices/v2/medias/1183430-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1NTIwfGltYWdlL2pwZWd8aW1hZ2VzL2hjZC9oMzIvOTA5MTMzMDI0NDYzOC5qcGd8Y2QwMWY0ZWIwMzk4ODcwMzk0Y2VjOTk0YWM3NjZmYjg0ODFhNzRmNDU5ZjI1NDc4Y2Q4NTE2MWNlYTgwOTgxMg,23.65,GROCERY
1160,1194497,Drynites Girls Pyjama Pants 4-7 years 17-30kg 16pcs,/lulucommercewebservices/v2/medias/1194497-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNjE2MXxpbWFnZS9qcGVnfGltYWdlcy9oZWUvaGU0LzkwNzA0MjQwNjQwMzAuanBnfDY3MDFiYzI4MzJjNzE5YTVhOGFjOWE5NDg5Mzc0OWVkODFjYTQwMGY5Y2RhZjY4NDlhZWE3ZjhlZDc1ZTdlZDM,32.9,GROCERY
1180,1228297,Dove Nutritive Solutions Hair Fall Rescue Shampoo 200ml,/lulucommercewebservices/v2/medias/1228297-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMTI1N3xpbWFnZS9qcGVnfGltYWdlcy9oZGQvaGNiLzkxMDEyNjY4NDU3MjYuanBnfGFiOThkYTVjMmJlYWExZGI5OThkMmJhMmJlMGZlZGRmNmUxM2ZhYjFiZTM3YjdjMDA4NWE2ZTA4NzgyZWE1ZjI,11.05,GROCERY
1200,1031341,Rimmel London Brow This Way Eyebrow Gel With Argan Oil Clear 1pc,/lulucommercewebservices/v2/medias/1031341-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3OTk5fGltYWdlL2pwZWd8aW1hZ2VzL2gzNy9oNWEvOTA3ODk0NTc3NTY0Ni5qcGd8N2E0MzNjNThjZTZiZmJlMTY5Y2VmNmIyMWYwZTliZjgyNjQyYjM2ZDQ2NGU3NjA4YmFhMjI1NWZiZWFlZjNjZQ,30.5,FASHION
1220,908977,Dabur Vatika Styling Gel Cream Slick 250ml,/lulucommercewebservices/v2/medias/908977-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w5NDYzNHxpbWFnZS9qcGVnfGltYWdlcy9oZWUvaGUzL2gwMC85MzQ3MjkyMTAyNjg2LmpwZ3w1YzUwODkxNWI2ZTEyMjFlZjU1ZTIwZDY0MzJiNjVlNDM5ZjJkZDg5NTBhN2IzYWE5ODYyY2Y0MDE4YTY5MTIy,11.75,GROCERY
1240,1397498,Nivea Deodorant for Men Fresh Ocean 150ml,/lulucommercewebservices/v2/medias/1397498-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMDUzMXxpbWFnZS9qcGVnfGltYWdlcy9oNWMvaDk0L2gwMC85MjcxODgwNTgxMTUwLmpwZ3xhOGY5YzFlNTg2N2M4MGFhNmVmNThkZWNjYzM5ZGMwZTNhN2I3Nzg1Mzk1ZWQyMzU5NTAyZDNmMmQ4YWI4NjAz,13.8,GROCERY
1260,1209807,Garnier Ultra Doux Replenishing Shampoo Honey Treasures 400ml x 2,/lulucommercewebservices/v2/medias/1209807-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1NDA1fGltYWdlL2pwZWd8aW1hZ2VzL2g4OC9oNzMvOTEwMDEyMDQ5MDAxNC5qcGd8ZGMyOTE4ZTczZjUzYWRlZjUxNTMzNTJjZTUyY2NhNDk4ZmY5Yjk2NmIxMjJiMTVkYWE1NWNkZGU0YjdhMmFhNw,24.25,GROCERY
1280,1545666,Vaseline Lip Therapy Original 4.8g,/lulucommercewebservices/v2/medias/1545666-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1NzcxM3xpbWFnZS9qcGVnfGltYWdlcy9oYjEvaDA5L2gwMC85NDY3OTIwNDgyMzM0LmpwZ3w1ZTUyODkyMDcyZjdhNTg1Y2M4NTdmMjA1ZDNmNjY5MmU5ZWU1NTRhODVjN2Y3MjI0MTExMTNiYTlkOWFmMGU3,9.5,GROCERY
1300,958401,Johnson's Body Soap Vita-Rich Soothing 125g,/lulucommercewebservices/v2/medias/958401-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzUxM3xpbWFnZS9qcGVnfGltYWdlcy9oYTkvaDczL2gwMC85MzYwNDkxMTE4NjIyLmpwZ3w5MDU2YzkzMTRhNWY4YzFlYzYwZWYyM2ZiNTczZTljMDc0MzMwNzY4ODdiMzEzZWJjZTU3ZDQ5YWIxM2U5Nzgw,2.9,GROCERY
1320,847563,Nivea Deodorant Natural Fairness Licorice & Avocado Extracts 200ml,/lulucommercewebservices/v2/medias/847563-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w4MjA3fGltYWdlL2pwZWd8aW1hZ2VzL2hmNS9oOWQvOTE3MTE0NjAxNDc1MC5qcGd8MmQwZGVkYzkyM2FlMGVmOGIzNTg3YTcwZmJjNWExOWY5MzZkMTdmZGJmZTY3OWExN2FmMmE2MzMwNzJmYWY5Zg,17.35,GROCERY
1340,937799,Kojie San Skin Lightening Soap 135g,/lulucommercewebservices/v2/medias/937799-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDU2NXxpbWFnZS9qcGVnfGltYWdlcy9oOTIvaGQ1LzkwNzI0MDY5NTQwMTQuanBnfDE2MmU1MTE5YjM5Y2E1NzE5ZThmYTE0OTI1YmIzYWRlYzA1NGI2NDVkZmRjYWFmNGQwYzAwZTM0ZmJlMWQyYWQ,9.2,GROCERY
1360,1610768,Dettol Nourish Antibacterial Bar Soap 165g,/lulucommercewebservices/v2/medias/1610768-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDM5OXxpbWFnZS9qcGVnfGltYWdlcy9oMWYvaDBhL2gwMC85Mjc2MjY2ODA3MzI2LmpwZ3xiNGEzZTFkZmMwMTM3YjA3MTU3M2QzNjY1MDkwNzFmMTlhN2U5YTIzNjA4ZmE4YWE0MDU5OGE4M2RiZTYxMzU3,7.9,GROCERY
1380,1490717,Lulu Fomme Soap Forever Fair 125g,/lulucommercewebservices/v2/medias/1490717-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1OTEyfGltYWdlL2pwZWd8aW1hZ2VzL2gwNy9oMTAvOTE2ODMxNTM4MzgzOC5qcGd8ZjE2Y2NhOTgyMDk0ZDk5YTJlODMzNDkyNDMzMDg4NmY2NTA5Y2I4MDc4M2NiNTk2YjA0NTIyY2JiNGNlNjZkZA,14.95,GROCERY
1400,23068,Safeguard Soap Fresh Green 135g,/lulucommercewebservices/v2/medias/23068-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNjQzOXxpbWFnZS9qcGVnfGltYWdlcy9oYjcvaDZhLzkwNzAxNzk3MTMwNTQuanBnfGFjMmU3OTU3MmI3NDVjOGFkMzZjNDAyZTMxZTBhOTIyMDhkODVlYjNkZTY1YWM5OTM4ZjA5YTRlM2FlMWE2NGQ,3.95,GROCERY
1420,1341480,Yardley English Bluebell Refreshing Body Spray 150 ml,/lulucommercewebservices/v2/medias/1341480-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMDI0NnxpbWFnZS9qcGVnfGltYWdlcy9oYzIvaDFlLzkxMDY1MTczOTM0MzguanBnfDQ4YjdlZDU5NWI4MTk0Y2I0ZGQwN2YwOWFkYjI4NDQ1Mjc5ZmI2MmQ2ZDg3NDI0ZTRjNTMxMjU5OTJiMTRlMWE,12.3,GROCERY
1440,437201,Fa Bar Soap Yoghurt Aloe Vera 175g,/lulucommercewebservices/v2/medias/437201-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0MzE3fGltYWdlL2pwZWd8aW1hZ2VzL2gwZC9oNzEvOTA4NTc1NDczNjY3MC5qcGd8MGYzMjNjZGYxZjNhOWU5YmEyOWU1MzYwYmUyYjQxODhiOWQ2NWViNWY5OWUzN2JhNDBjZWM0MDMwZjYxN2M4Yw,4.3,GROCERY
1460,294018,Nivea Soft Moisturizing Cream 300ml,/lulucommercewebservices/v2/medias/294018-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w5NDkyfGltYWdlL2pwZWd8aW1hZ2VzL2gyOC9oNjEvOTE3MDk1MTE3NjIyMi5qcGd8ZTM2Y2UzYmIyNmE0Mjg4MmIxOTI2NDgzYzdmZDYyODA1ZDlkZTdlMTY1YTU0N2FkNTMyNTlmNjM5ZmNlOGMwMQ,20.6,GROCERY
1480,1122966,Alchimia Vegetal Soap Rose 200g,/lulucommercewebservices/v2/medias/1122966-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTYzM3xpbWFnZS9qcGVnfGltYWdlcy9oZTYvaDQ5LzkwOTg5MTcxMTc5ODIuanBnfDljOGE0MDc4MDcxOGQ4NzE4ZjJhZGYyNmEzNmYyMjU2M2ZhZDYyNDIzYzhjMmY5MjRlZGEyNzAxZTc0MTIxMmU,17.5,GROCERY
1500,1358004,Herbal Essences Green Herbs & Mint Shampoo 400ml,/lulucommercewebservices/v2/medias/1358004-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTQ1ODY4fGltYWdlL2pwZWd8aW1hZ2VzL2gwZS9oNDQvaDAwLzkyODg5MDg0NzIzNTAuanBnfGI3YWFiZDE2NDhiOGRjMWMwMGQ5ZjYzZmJkMzM0OWJiMzNlNzIxY2M1ZDcyNTlmNDA0NjdiNjYzZmVhY2EzZDc,13.6,GROCERY
1520,1402383,Pantene Pro-V 3 Minut Miracle Smooth & Silky Conditioner + Mask 200ml,/lulucommercewebservices/v2/medias/1402383-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTI5MHxpbWFnZS9qcGVnfGltYWdlcy9oYTIvaGZmL2gwMC85Mjg5NTQ3NTEzODg2LmpwZ3xmOTBhNzU4ZjFhY2U3ZGYwZTI1MmNmNWVlYzA0MDhjY2Q3Y2UzYjk1NDgxYjVlZjRkNzRkMWZhNDcyMDU4NGEz,21.5,GROCERY
1540,651741,L'Oreal Casting Creme Gloss Ebony Black 200 1 Kit,/lulucommercewebservices/v2/medias/651741-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0NzA4fGltYWdlL2pwZWd8aW1hZ2VzL2hmZC9oMzEvOTExMjU0OTUyMzQ4Ni5qcGd8ODIwMmZkYTdkODhiNGJmYTdmOTdmNzA3ZWZiNDcxZTdmN2VlYjMwNTlmYzYwMjUzZmMyNmUwMzVkNjcxYzRhMw,41.4,GROCERY
1560,412887,Versace EDT Man 100 ml,/lulucommercewebservices/v2/medias/412887-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMTE1OHxpbWFnZS9qcGVnfGltYWdlcy9oYzQvaDY3LzkwODUwNjk2ODg4NjIuanBnfDIyOGVkMzY1ZTgxMGFhNGI5NGNlMjdkYTlmN2E3MDViNDYyNTFlYWMxNjZiMTRmNGQ3OWQ3ZDg5OGE2NjUyZjA,190.0,FASHION
1580,570147,Gillette Blue3 Menâs Disposable Razors 6pcs,/lulucommercewebservices/v2/medias/570147-000001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzODU2fGltYWdlL2pwZWd8aW1hZ2VzL2hiNS9oMDQvOTExMDU0MzcyODY3MC5qcGd8NThiZjhlZmJjMTg2N2JlM2E1ZDU2ZDgzZjEwMjM3MzgwMGIzN2JkZDcwYzIxYzVhOTA0ZTM4ZDQ0ZjkyYWFhYQ,24.7,GROCERY
1600,1381007,Maybelline Superstay Matte Ink Liquid Lipstick 10 Dreamer 5ml,/lulucommercewebservices/v2/medias/1381007-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3MzM0fGltYWdlL2pwZWd8aW1hZ2VzL2hlMi9oMzgvOTA3NDc5ODU5MjAzMC5qcGd8YTk1MzA4N2NlZDc2NmU2MDAzNTcyNjllOGFkMzI5NTQyZjJkZTY1YzkxZWYzMDQwNDcxN2IzMDA2NGNkYzM5ZQ,57.75,FASHION
1620,1196471,Maybelline Instant Age Rewind Eraser Dark Circles Concealer 160 Brightener 1pc,/lulucommercewebservices/v2/medias/1196471-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNjA4NXxpbWFnZS9qcGVnfGltYWdlcy9oODQvaGFiLzkwOTIzMTAzNjgyODYuanBnfDg5MzUzZGIxMjc0MTRmM2Y4MmNiNzEwODczODQxNWY0NjljZGRkZGNjMGIyMzZkMTgxOThjNzNmM2U5NjE5NWE,59.0,FASHION
1640,14136,Gillette Blue II Men's Disposable Razors 10pcs,/lulucommercewebservices/v2/medias/14136-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODYxOHxpbWFnZS9qcGVnfGltYWdlcy9oMDIvaDdkLzkxNzUwNDM2MzcyNzguanBnfDdmN2ExZTQ5M2E1MWJmYWQ1MTRmYWRhMmMxZDhiMDAzM2UzMjA0ZDE3YzgwY2Y3ZWRkNmE3ZjIyYzlkOWFkMjM,21.0,GROCERY
1660,1463480,Dunhill Desire Blue EDT Gift Set For Men 100ml,/lulucommercewebservices/v2/medias/1463480-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0MTU3fGltYWdlL2pwZWd8aW1hZ2VzL2hlMS9oM2MvOTE1ODE5NzE4MjQ5NC5qcGd8MmRkM2FiY2I2ZTcxMjUxYjU3N2ZjYTNjMmQzYjliZjdkNDY1OGEyNzZmOWMzYjQ5N2NhYmM0N2U3MjYzYjYzZA,190.0,FASHION
1680,1212936,Paco Rabanne Invictus EDT for Men 100ml,/lulucommercewebservices/v2/medias/1212936-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMjI4MHxpbWFnZS9qcGVnfGltYWdlcy9oNjIvaDZiLzkxMDAzNDcwNDc5NjYuanBnfGIxMTZiYWEyNWM0YjNjNGFlYzE5MGM3ZGI3MTQ4OGRiYjMwZDJhODllMDYyYWQzYzEzNTA0OTM4OTQ5Y2FlMjM,315.0,FASHION
1700,1413055,Davidoff Horizon Extreme EDP for Men 75ml,/lulucommercewebservices/v2/medias/1413055-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMzU3fGltYWdlL2pwZWd8aW1hZ2VzL2gxMC9oMGUvOTA5ODEzNTg2MzMyNi5qcGd8NjViYTA0MWFlNWU2M2VlMGQxYmQ5NjFiMTY0MjgxNGNiOGE1ZDRiZjZjNzFmM2ZiMGM2YmVlZTU5OTkxZWZmNw,160.0,FASHION
1720,1178433,Aramis Sean John Unforgivable Electric EDT for Men 125ml,/lulucommercewebservices/v2/medias/1178433-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNTkyfGltYWdlL2pwZWd8aW1hZ2VzL2hhOS9oZmUvOTE1ODA2NTg0ODM1MC5qcGd8MzY5NzU1NzNiYzVlZmI4MjM0YTA5N2JiZjI1YmM0NDkyOWZkNDQ0ZjJkNjcxNDE4OTgwYzJlMDk4NzFkOThkYg,177.0,FASHION
1740,21519,Burberry EDT For Men 100 ml,/lulucommercewebservices/v2/medias/21519-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjAxMHxpbWFnZS9qcGVnfGltYWdlcy9oNjYvaDA1LzkwODA0NDUwNDI3MTguanBnfDYxOTUyMmZjODY1MDZiNmYwNGUzNGFiY2IxYzY2YTY3MzBhYTAxYjJmZmY0ZjUzNzJiMWQ1MTI5MGI1NDc4N2U,185.0,FASHION
1760,647869,Maybelline Color Sensational Classics Lipstick Hollywood Red 540 1pc,/lulucommercewebservices/v2/medias/647869-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTkyMXxpbWFnZS9qcGVnfGltYWdlcy9oN2QvaDY2LzkxMTI0Mjk5ODU4MjIuanBnfDY2NWFkNWY2YzBjMzQ5YmQyYWMwM2JlNTJlYWNjNTAxNWM5NmRmNDgwYmQ1NDkwZTY0NGRjMWZiMTE5YTZjYzk,59.0,FASHION
1780,1195042,Maybelline Color Sensational Creamy Matte Lipstick 965 Siren In Scarlet 1pc,/lulucommercewebservices/v2/medias/1195042-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTM0OHxpbWFnZS9qcGVnfGltYWdlcy9oZGMvaGFkLzkwOTIyMTk3MzE5OTguanBnfDk4NDlkMDY4NTI1MjcxNjY1ZjY2YjU0MjFmNjczNGViZWQ1NzM2OWQ5M2NlNjgxNGFkZGI2OWU3ODc0ZGExNzk,59.0,FASHION
1800,1063997,Paco Rabanne Invictus EDT Men 100 Ml + 10 ml Gift Set,/lulucommercewebservices/v2/medias/1063997-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODYxM3xpbWFnZS9qcGVnfGltYWdlcy9oM2YvaDc0LzkwOTQ3MDc0MTMwMjIuanBnfDg1NGJhNWQ4ODc2YzI3OTMzY2FlODAwNDUxMGU2NmM1MmRmNzhmNWIwYWNkY2VhZDIyODdlMzNjNGJlMTAyZWE,325.0,FASHION
1820,1251097,Maybelline Push Up Angel Mascara Very Black 1pc,/lulucommercewebservices/v2/medias/1251097-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTAxNXxpbWFnZS9qcGVnfGltYWdlcy9oZjEvaGQ3LzkxMDIzMzA5NTM3NTguanBnfGQyNDA0M2Y0YzM4MjEyNzg4MTczMWYwYzhhZTU1NjYxYmMzZjgxMTdlNmMzMjJiYWFjNDk5ODMxMWM3ODhlZDA,73.5,FASHION
1840,1005173,Dove Men+Care Antiperspirant Deodorant Invisible Dry 150ml,/lulucommercewebservices/v2/medias/1005173-00001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTYwMHxpbWFnZS9qcGVnfGltYWdlcy9oMDQvaDIzLzkwNzI3ODcxMjgzNTAuanBnfGYwMTVjNzA3NDQwMzQ4YmU4ZmNmNTUzMzgzMTFkNDAyZjY0MzY4NmU4MjdjMTVhNzI3ZGJmYWY0OTBjNjEyMGY,15.75,GROCERY
1860,589195,Nivea Shower Gel Waterlily & Oil 250ml,/lulucommercewebservices/v2/medias/589195-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTM5NHxpbWFnZS9qcGVnfGltYWdlcy9oMjkvaDI2LzkxNzEwNTA4NTY0NzguanBnfDE4MTJiNTdhZDRlMGE1NDhlZjVmNjEwNTQxNmI4YTgwOTAzMzExZTExYjIwMmE0OTk0OWNhOTViZGIxMTg1ZTU,14.5,GROCERY
1880,1364787,Lifebuoy Anti Bacterial Bar Mild Care 125g,/lulucommercewebservices/v2/medias/1364787-0001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMDUyMnxpbWFnZS9qcGVnfGltYWdlcy9oMDAvaDc2LzkwNzQxMzg2NDQ1MTAuanBnfGI3OTIwZWFiOTFjMTE1OGJmNjBlNTg2N2QxNTllYzBlMTY5NDhlMzY0MTI1MThlZThhNzNkYjY1NmQwOTU1NjE,4.75,GROCERY
1900,930607,Dove Beauty Cream Bar Pink 160g,/lulucommercewebservices/v2/medias/930607-00001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxODM3MXxpbWFnZS9qcGVnfGltYWdlcy9oYTkvaDZhLzkxMjIxNDg0ODMxMDIuanBnfGI2MTI4MTMwNDg5YTEwMjY3NDVlZGIxZmM5ZDdjNTllY2M2Mjk4MjdlYzk1M2RlOWY1YTU0MGEzMDQ5MjQ0YzI,7.6,GROCERY
1920,966316,Lux Soap Assorted  6 x 120g,/lulucommercewebservices/v2/medias/966316-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMjE4NHxpbWFnZS9qcGVnfGltYWdlcy9oOTMvaGE3L2gwMC85MzA0NTI0OTE0NzE4LmpwZ3xhZDI1YTAwYzI4YjAyMjNiNzBjNzdmMDI2YTE2MGJhNGI4Y2IxM2M5YzhmZTZhMmIyMWQzOTk5OWZiNDgxZGZm,17.0,GROCERY
1940,1413294,Cetaphil Gentle Skin Cleanser 118ml,/lulucommercewebservices/v2/medias/1413294-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMDYyMHxpbWFnZS9qcGVnfGltYWdlcy9oNDMvaDBkLzkwNzYzOTU5NjY0OTQuanBnfDIyZmNjYzk3MDJiNjc4ZDM4NWM3YThmNTBiNWMyODBhYTgxMjk4NmRjNDAzY2JlZjQzNzg2NTNiNzFhOTgxNWU,58.0,GROCERY
1960,1247573,Maybelline 24 Karat Nudes Eyeshadow Palette 1pc,/lulucommercewebservices/v2/medias/1247573-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMjE2MXxpbWFnZS9qcGVnfGltYWdlcy9oOTMvaGEyLzkxMDIxNDk3NDY3MTguanBnfGRkMjI5ODMzNjNkYWY4ZWUwZTk5MmU2MTUzMWEyMWJmMjEwODU2YjIxM2U0M2ZlMTlmZjlkZjg0Y2I5OTdmOGQ,102.0,FASHION
1980,908040,Bio Oil Skincare Oil 60ml,/lulucommercewebservices/v2/medias/908040-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3OTA1fGltYWdlL2pwZWd8aW1hZ2VzL2hmNi9oM2IvaDAwLzkyMzE1MDQyNDQ3NjYuanBnfGU3YmE2YTRiNjY1Yjc0Y2E2NDVjYTNhMTk2NzIxNzdiMTgyYzViNjYzMGIwOTAxZDBlNTQwODk1MTY3NDhmNGM,45.15,GROCERY
2000,1205402,Nivea Shower Gel Active Clean 250ml,/lulucommercewebservices/v2/medias/1205402-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTYxNXxpbWFnZS9qcGVnfGltYWdlcy9oMDYvaGQ4LzkxNzEzMDE0NjYxNDIuanBnfDQ1OTJiMWJkN2U4Y2E3NzhmOTVjY2JkZDBkOGExMGM1NmU1ZmMwOTM4ODJkMWZlY2VmZDNhNWNhYzA5YmE0OGY,14.5,GROCERY
2020,1087603,St. Ives Soft And Silky Coconut And Orchid Body Wash 400ml,/lulucommercewebservices/v2/medias/1087603-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1NjQzM3xpbWFnZS9qcGVnfGltYWdlcy9oYTkvaGJjL2gwMC85MTg4Mzg1OTgwNDQ2LmpwZ3wwMzc0MWU5YTEwNGNmYjZmMGE5OTg1MDI5NWFmNDYzZjdlNTkxNTEyYzY0MTYyYmZhZmVhM2NmMzNmNDBhOGVj,21.0,GROCERY
2040,857575,Pantene Pro-V Daily Care Shampoo 200ml,/lulucommercewebservices/v2/medias/857575-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3NzA4fGltYWdlL2pwZWd8aW1hZ2VzL2g0ZS9oOTUvaDAwLzkyNTY0NjEwNzQ0NjIuanBnfDE1NWY2NTA2MDc2ZWFmODcyYmZjMTIyNzI3M2MzYjg5M2I5ZWUyNWQzYzRhNjRjNjYwZDI3ZTJhYWJkOWI5OWY,9.7,GROCERY
2060,1465333,Dunhill Desire Red Extreme EDT for Men 100ml,/lulucommercewebservices/v2/medias/1465333-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzczfGltYWdlL2pwZWd8aW1hZ2VzL2hlZi9oNjcvOTE1ODE5ODM2MjE0Mi5qcGd8ZGJmYmQzMTI3ZWM3MDdiM2IxYzJlMTg0ZWQ4MTQ2MGFmYWNkYmY2YjZlODAzODU1YzkzZjNhNGU3NThjZDA2ZA,190.0,FASHION
2080,443625,Clear Men's Anti-Dandruff Shampoo Hairfall Defense 400ml,/lulucommercewebservices/v2/medias/443625-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxOTU4M3xpbWFnZS9qcGVnfGltYWdlcy9oNDUvaGUzL2gwMC85MzE2ODQ4NjY0NjA2LmpwZ3w4YzE3NmFmMzdhNzI0OWU3ZmNjMTUzNDViMjhhZmM4ZjFiMzlmYjU2MDNkMTkxYmZlNDkzYmIxNjQ4ZjdiZTA5,20.75,GROCERY
2100,140426,Pantene Pro-V Perfect Curls Shampoo 400ml,/lulucommercewebservices/v2/medias/140426-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3NTEwfGltYWdlL2pwZWd8aW1hZ2VzL2g4MS9oMjQvaDAwLzkyNTY0MTc2MjQwOTQuanBnfDhkMmUxMDg3MTdjNzk2NGQ1MDZlYTJkYjU2OWNiZGQxNDk0ZDQ5YzU4Zjk4ZmFmNzZkMTk5NDM1MWY4YjUxZmU,17.35,GROCERY
2120,1358783,Mont Blanc Legend Spirit Eau De Toilette for Men 100ml,/lulucommercewebservices/v2/medias/1358783-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzU5fGltYWdlL2pwZWd8aW1hZ2VzL2hiNC9oNmYvOTEwNjg4NDY1NzE4Mi5qcGd8YzJiM2JiYjVjMTlkM2UxZDRjOTNmOThhNDk2MzFiMjc3Y2RkNjAyZmU4ZGJjNWI0NDI1NzhjOTQ4NjM4ZDQwNQ,195.0,FASHION
2140,1659600,Banana Republic Wildbloom EDP For Women 100ml,/lulucommercewebservices/v2/medias/1659600-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMzMwOHxpbWFnZS9qcGVnfGltYWdlcy9oNDAvaGY4L2gwMC85MzI1NDM4NzYzMDM4LmpwZ3xjNDBkOTI1ZWJkNWQxZmM2YzEwMzg1NzVhMmJmMjUxMTg4OWQzOGQ4MWExYmYzYTA4YzI0ZTc0MWU5ZmExMzNi,195.0,FASHION
2160,410112,Always Mesh Maxi Thick Night Sanitary Pads 24 Count,/lulucommercewebservices/v2/medias/410112-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxODE4MnxpbWFnZS9qcGVnfGltYWdlcy9oY2UvaDY0LzkxODM4ODAxNTEwNzAuanBnfDczMmIwMGIwNGQ1ZWRlMGZiOGRjMzE5ODBlMjhhM2ZkYjVmNGY4ZjljZmE5NTM4ZmQ1ODA5NTVlZGQzY2Y5Mjg,16.0,GROCERY
2180,847524,Nivea Deodorant Natural Fairness 50ml,/lulucommercewebservices/v2/medias/847524-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3ODA5fGltYWdlL2pwZWd8aW1hZ2VzL2g5Ni9oMDcvOTE3MTEzNzc1NzIxNC5qcGd8MDFmY2VlNmJmYjA5MDJjMGY1ZDcwN2NjNTM5MDQ2MjhhNzI0MGM3ZTcxYWQzZDkwNjFhNTI2NjAyODRkZjZkYw,12.55,GROCERY
